wine,winery,category,designation,varietal,appellation,alcohol,price,rating,reviewer,review
Merry Edwards 2011 Sauvignon Blanc (Russian River Valley),Merry Edwards,White,,Sauvignon Blanc,"Russian River Valley, Sonoma, California, US",14.1%,$32,88,,"Despite a chilly vintage, the winery successfully avoiding the green fruit that plagues so much Sauvignon Blanc from 2011. While the wine is dry, it's rich in citrus, pear, tropical fruit and honey flavors, with a touch of spicy oak."
Kaiken 2012 Reserva Malbec (Mendoza),Kaiken,Red,Reserva,Malbec,"Mendoza, Mendoza Province, Argentina",14.5%,$13,87,Michael Schachner,"Brushy aromas of wild herbs along with cherry and plum scents feed into a fresh, fairly full palate. This is generously oaked for basic Malbec, and thus spice and resin notes share the stage with plum and blackberry flavors. A dry, spicy, resiny finish is the close."
Château le Prieuré 2007 Grand Cru Classé  (Saint-Émilion),Château le Prieuré,Red,Grand Cru Classé,Bordeaux-style Red Blend,"Saint-Émilion, Bordeaux, France",,$42,89,Roger Voss,"Situated on the plateau of Saint-Emilion, just east of the city, Château le Prieuré has produced a finely structured 2007, not big, but well balanced. Touches of cocoa and cinnamon spice cap the solid fruit and dry tannins. Age for 3–4 years."
Casa da Passarella 2012 Colheita Tinto Red (Dão),Casa da Passarella,Red,Colheita Tinto,Portuguese Red,"Dão, Portugal",13.5%,$15,88,Roger Voss,"A fresh and fruity, juicy wine that is just touched by the tannins and structure of the Dão region. It is a wine to be consumed young for its berry fruits and perfumed acidity. Drink now."
Leone de Castris 2018 Il Medaglione Primitivo (Salento),Leone de Castris,Red,Il Medaglione,"Primitivo, Zinfandel","Salento, Southern Italy, Italy",13.5%,$15,88,Alexander Peartree,"Aromas of blood orange, baked plum and cherry are lifted by potpourri spice on the nose. Rounded and juicy on the palate, a succulent red fruit jam flavor is honed by racy acidity and fine-grained tannins."
Jidvei 2015 Demisec Gewurztraminer (Jidvei),Jidvei,White,Demisec,"Gewürztraminer, Gewürztraminer","Jidvei, Romania",12.5%,$10,86,Jeff Jenssen,"This semisweet wine has a flowery bouquet of jasmine and citrus blossom. The florality continues to the palate, combining with flavors of pineapple, ginger and apricot before a slightly sweet finish."
Herdade do Rocim 2014 Vale da Mata Reserva Red (Lisboa),Herdade do Rocim,Red,Vale da Mata Reserva,Portuguese Red,"Lisboa, Portugal",13.5%,$35,94,Roger Voss,"From a small vineyard owned by the Vieira family for several generations, this wine is dense, impressive and packed with rich black fruits. Its tannins and smoky, tarry character are now almost mature, and the result is very fine. This major wine will be ready to drink from 2020."
Daou 2015 Reserve Cabernet Sauvignon (Paso Robles),Daou,Red,Reserve,Cabernet Sauvignon,"Paso Robles, Central Coast, California, US",14.5%,$56,92,Matt Kettmann,"Deep and dark aromas of black currant, elderberry jam, dark chocolate and an elegant layering of herbs show on the nose of this bottling. There's a dense frame of opulent black cherry and purple flowers on the sip, which is framed by upright yet smooth tannins."
Laetitia 1999 La Colline Pinot Noir (Arroyo Grande Valley),Laetitia,Red,La Colline,Pinot Noir,"Arroyo Grande Valley, Central Coast, California, US",14.1%,$60,92,,"There's a complex mélange of aromas and flavors that one taster felt incorporated too many citrus and vegetal notes, but the rest of the panel enjoyed the cherry, herb, cocoa, cinnamon, citrus and olive notes. Smooth and polished, this combines structure and immediate appeal. Good now, but best after 2004."
Bouchard Père & Fils 2008 Ancienne Cuvée Carnot Caillerets Premier Cru  (Volnay),Bouchard Père & Fils,Red,Ancienne Cuvée Carnot Caillerets Premier Cru,Pinot Noir,"Volnay, Burgundy, France",,$85,92,Roger Voss,"Structured and concentrated, it has a silky richness that is very Volnay, while at the same time giving the bright fruits of the year. The final tastes are smoke and crisp acidity."
Winery of Good Hope 2011 Bush Vine Chenin Blanc (Stellenbosch),Winery of Good Hope,White,Bush Vine,Chenin Blanc,"Stellenbosch, South Africa",13%,$12,86,Lauren Buzzeo,"This wine shows good balance between the lively acidity and ripe notes of red apple flesh, pear and orange oil. The round mouthfeel of ripe fruit flavors are lifted on the finish by a tangy, green plum and lime zest accent. Drink now."
Château de Fieuzal 2013  Pessac-Léognan,Château de Fieuzal,Red,,Bordeaux-style Red Blend,"Pessac-Léognan, Bordeaux, France",,$50,89,Roger Voss,"The enthusiastic use of wood for this wine gives a dark, spicy character that masks any fruit. Less new wood would have helped highlight the natural fruitiness of the wine. Leave it until 2020 and the fruit may fill out. Winemaker Stephan Carrier returned from Napa to take over winemaking after Irish businessman Lochlann Quinn bought the property in 2001."
Testarossa 2015 Tondre Grapefield Pinot Noir (Santa Lucia Highlands),Testarossa,Red,Tondre Grapefield,Pinot Noir,"Santa Lucia Highlands, Central Coast, California, US",14.5%,$65,93,Matt Kettmann,"Plump mulberry and black plum aromas are generous but reserved enough on the edges to keep it elegant, lifted by spicebox and sweet tobacco touches. Lovely layers of flavors explode on the palate, with a strong spicy character lifting the core of dark red fruit. There's also an earthy flavor, and perfect acidity binding it all together."
A.A. Badenhorst Family Wines 2015 Ramnasgras Cinsault (Swartland),A.A. Badenhorst Family Wines,Red,Ramnasgras,"Cinsault, Other Red","Swartland, South Africa",11%,$40,90,Lauren Buzzeo,"Notes of rosehip, clove, nutmeg, red currant, rhubarb and wild strawberry all abound on the nose and mouth in this fresh, vibrant wine. Fine tannins lend a soft structure to the medium-weight palate, with bright acidity providing freshness and levity. Hints of Dr. Pepper and tart red currant ride out the mouthwatering close. Drink now–2021."
Château Potelle 2000 Zinfandel (Paso Robles),Château Potelle,Red,,Zinfandel,"Paso Robles, Central Coast, California, US",,$22,85,,"This fine Napa producer has set up a Paso Robles operation and here is the result. This is a soft, hot country Zin, with plummy, raisiny flavors, considerable alcohol, and nonexistent tannins. The wine is dry, with a fruity finish."
Wombat Gully 2001 Shiraz (South Eastern Australia),Wombat Gully,Red,,,"South Eastern Australia, Australia Other, Australia",12.6%,$10,84,Michael Schachner,"Tight in the nose, with hints of tomato and black plum. The flavors veer toward plum and cherry, as there's quite a lot of fruit here. Furthermore, it's nice and easy on the palate. Some toasty oak appears on the finish, which is buttery and fairly long. —M.S."
Sallier de la Tour 2017 Inzolia (Sicilia),Sallier de la Tour,White,,"Inzolia, Italian White","Sicilia, Sicily & Sardinia, Italy",12%,$13,87,Kerin O’Keefe,"This 100% Inzolia has aromas of Bosc pear, white flower and Granny Smith apple. The aromas carry over to the easy-drinking palate accompanied by bright acidity that gives the wine a refreshing close."
Château Coutet 2004  Barsac,Château Coutet,Dessert,,"Bordeaux-style White Blend, White Blend","Barsac, Bordeaux, France",,,94,Roger Voss,"A fresh, delicious wine, the natural richness of the botrytis balanced beautifully with acidity. It is ripe but delicate, a style that floats over the sweet fruit."
Melville 2002 Clone 76 - Inox Chardonnay (Sta. Rita Hills),Melville,White,Clone 76 - Inox,Chardonnay,"Sta. Rita Hills, Central Coast, California, US",,$28,86,,"An entirely unoaked wine designed to showcase its terroir, which it does in the tartly crisp acidity and streamlined citrus and apple flavors. The wine drinks severe and steely sharp. The bottle I tasted was also a little fizzy."
Geyser Peak 1999 Reserve Alexandre Meritage Red (Alexander Valley),Geyser Peak,Red,Reserve Alexandre Meritage,"Cabernet Blend, Bordeaux-style Red Blend","Alexander Valley, Sonoma, California, US",13%,$45,93,,"The quintessential Alexander Valley Cabernet, always dependably soft, fruity and complex. This year is one of the best ever. Plush and velvety, with endless nuances, it's like sipping the essence of black cherries steeped in kirsch. Dry, with just enough oak to add smoke and spice. Editors' Choice. —S.H."
Leonetti Cellar 2018 Holy Roller Red (Walla Walla Valley (WA)),Leonetti Cellar,Red,Holy Roller,Bordeaux-style Red Blend,"Walla Walla Valley (WA), Columbia Valley, Washington, US",,$138,94,Sean P. Sullivan,"Coming from the winery's plantings in the Rocks District, this wine is 83% Cabernet and 17% Sangiovese. The aromas are redolent with notes of dark fruit, dried herbs, moist earth, flowers, cocoa and spice. The black fruit flavors are dense and supple, displaying impressive intensity and more structure than is often associated with this region. The finish shows exceptionally long hang time."
Chalk Hill 2005 Botrytised Sémillon (Chalk Hill),Chalk Hill,Dessert,Botrytised,Sémillon,"Chalk Hill, Sonoma, California, US",11%,$55,95,,"This is one of the sweetest white California dessert wines out there. It's addictively decadent, like an upscale Sauternes. Barrel fermentation in new French oak gives an opulent, palate-flattering honeyed vanilla richness to the apricot, peach, pineapple and crème brûlée flavors that are so rich and refined. Crisp acidity provide clean, vibrant balance. Just gorgeous, and worth the price."
Brokenwood 2008 Cricket Pitch Cabernet Sauvignon-Shiraz-Merlot-Petit Verdot Red (South Eastern Australia),Brokenwood,Red,Cricket Pitch Cabernet Sauvignon-Shiraz-Merlot-Petit Verdot,"Red Blends, Red Blends","South Eastern Australia, Australia Other, Australia",14%,$21,87,Joe Czerwinski,"Dark hints of charred oak and cola accent bright berry aromas, while the palate is marked by bold berry and black cherry flavors and a whack of vanilla. It's a medium-bodied red that comes across as a bit hard-edged because of its acidity despite having rather soft tannins. Drink now."
Silver Palm 2012 Cabernet Sauvignon (North Coast),Silver Palm,Red,,Cabernet Sauvignon,"North Coast, North Coast, California, US",13.7%,$19,86,Jim Gordon,"Jammy aromas, figgy flavors and a very smooth mouthfeel define this medium-bodied and straightforward wine. Without much of the typical tannins, it's easy on the palate."
Tittarelli 2003 Reserva de Familia Tempranillo (Mendoza),Tittarelli,Red,Reserva de Familia,Tempranillo,"Mendoza, Mendoza Province, Argentina",14%,$20,80,Michael Schachner,"The color and aromas stir intrigue, but the brutally sharp palate that runs on steam-roller acidity does it no favors. Succulent to the point of sour, and giant to the point of overdone, this wine needs to head back to the garage for a tune-up."
Innocent Bystander 2005 Shiraz-Viognier (South Eastern Australia),Innocent Bystander,Red,,,"South Eastern Australia, Australia Other, Australia",14.5%,$20,90,Joe Czerwinski,"This may only be a medium-bodied red, but it crackles with the exciting flavors of the northern Rhône, marrying freshly cracked peppercorns with a hint of meatiness and bright blueberry fruit. Drink now."
Angeline 2006 Gewürztraminer (Mendocino County),Angeline,White,,Gewürztraminer,"Mendocino County, Mendocino County, California, US",13.1%,$14,89,,"Well-acidified, the fruit shows a long hangtime character of marvelously intense tropical fruits, spices and flowers. The wine spreads a honeyed richness all around the mouth, but it's dry."
Cellers Unió 2014 Roureda Llicorella Clàssic Red (Priorat),Cellers Unió,Red,Roureda Llicorella Clàssic,"Red Blends, Red Blends","Priorat, Catalonia, Spain",14.5%,$25,90,Michael Schachner,"Drilling aromas of graphite and balsamic dark fruits open this intense, pulling blend of 50% Carignan, 25% Garnacha and 15% Merlot. Roaring berry, chocolate and pepper flavors get brushed aside by the tannic roughness of the finish. Give this plenty of air before pouring; drink through 2024."
Dopff Au Moulin 2017 Pinot Blanc (Alsace),Dopff Au Moulin,White,,Pinot Blanc,"Alsace, Alsace, France",12.5%,$14,89,Anne Krebiehl MW,"A shy nose gives only slight glimpses of russet-pear peel and earth. The palate emphasizes a textural, earthy element with lemon crispness and finishes refreshingly dry and bright."
Palivou 2004 Ammos Terra Leone Single Vineyard Selection Agiorgitiko (Nemea),Palivou,Red,Ammos Terra Leone Single Vineyard Selection,"Agiorgitiko, Greek Red","Nemea, Greece",14%,$45,87,Susan Kostrzewa,"A darker, denser red that offers chocolate, black fruit and spice on the nose and palate. A spin of nutty spice and dried fruit punctuates the cherry and raisin fruit. Slightly Port-like and heavier, this wine will soften with time in the bottle."
La Ganghija 2015  Barbaresco,La Ganghija,Red,,Nebbiolo,"Barbaresco, Piedmont, Italy",14.5%,$45,91,Kerin O’Keefe,"Aromas of rose petal, red berry and tobacco lead the way. The juicy palate offers raspberry, white pepper and star anise set against firm tannins. Drink 2021–2029."
Château Pavie 2015 Arômes de Pavie Barrel Sample  (Saint-Émilion),Château Pavie,Red,Arômes de Pavie Barrel Sample,Bordeaux-style Red Blend,"Saint-Émilion, Bordeaux, France",,,92,Roger Voss,"91–93. Barrel Sample. Spicy and ripe, this wine has a strong structure of brooding tannins. There are also great black plum and blackberry flavors here that are super-ripe."
Wyndham Estate 2007 Bin 333 Pinot Noir (South Eastern Australia),Wyndham Estate,Red,Bin 333,Pinot Noir,"South Eastern Australia, Australia Other, Australia",13%,$9,86,,"Wyndham 333 delivers fabulous Pinot aromas of cherry, raspberry and mineral at a very modest price. The palate is serious, with lovely strawberry flavors but falls a bit flat on the plush finish. Drink up."
Château d'Aydie 2009  Madiran,Château d'Aydie,Red,,"Tannat, Other Red","Madiran, Southwest France, France",14%,$35,92,Roger Voss,"A new-wood-dominated wine, this has a heavy toast character, with extracted licorice and dark chocolate flavors as well as a big black-plum note. Rich and weighty, with juicy acidity, this demands many years of aging."
Kopke 2003 Colheita White  (Port),Kopke,Port/Sherry,Colheita White,"Port, Port Blend","Port, Portugal",20%,$51,89,Roger Voss,"Almost a baby in Colheita Port terms, this is a bright, ripe and fruity wine. It does have some touches of wood aging although they are left behind by the honey and orange marmalade flavors that have a light sprinkling of ginger. Drink now."
Chimney Rock 2005 Elevage Blanc White (Stags Leap District),Chimney Rock,White,Elevage Blanc,"Bordeaux-style White Blend, White Blend","Stags Leap District, Napa, California, US",13.5%,$39,92,,"Lots to like in this dry, elegant wine, which is a Graves-style blend of Sauvignon Blanc and Sémillon. The flavors are quite complex, with nectarine, peach, pineapple and flowery buttercup accented with a nutty, cashew-rich oiliness. All that richness is perfectly balanced with crisp acidity."
Bellora 2016  Soave,Bellora,White,,"Garganega, Italian White","Soave, Veneto, Italy",12.5%,,85,Kerin O’Keefe,Fruity aromas of tropical fruit and white peach carry over to the simple palate along with the barest hint of bitter almond. Fresh acidity gives it a bright finish.
Bovio 2017  Barolo,Bovio,Red,,Nebbiolo,"Barolo, Piedmont, Italy",14.5%,$50,91,Kerin O’Keefe,"This opens with spicy aromas of incense and star anise that mingle with cedar and eucalyptus. The chewy palate offers dried cherry, licorice and tobacco alongside solid, somewhat grainy tannins. Drink through 2027."
Philo Ridge 2009 Unfiltered Pinot Noir (Anderson Valley),Philo Ridge,Red,Unfiltered,Pinot Noir,"Anderson Valley, Mendocino County, California, US",14.1%,$34,87,Virginie Boone,"A light yet concentrated Pinot Noir, this has a cherry flavor and a spicy texture. Give it some air to allow the better side of its earthy aromas time to unravel."
Tertulia 2010 Redd Brand BDX Red (Columbia Valley (WA)),Tertulia,Red,Redd Brand BDX,Bordeaux-style Red Blend,"Columbia Valley (WA), Columbia Valley, Washington, US",14.1%,$15,87,Sean P. Sullivan,"It's the Carmenère (14%) that pops first on this Cabernet Sauvignon and Cabernet Franc-dominant blend. Aromas of braised jalapeno pepper are followed by coffee, vanilla and dark fruit. The coffee and cherry flavors are light, with some grit to the tannins and a warm finish."
Perelada 2017 Stars Reserva Brut Nature Sparkling (Cava),Perelada,Sparkling,Stars Reserva Brut Nature,"Sparkling Blend, Sparkling","Cava, Catalonia, Spain",11.5%,,88,Michael Schachner,"Yeasty aromas of freshly baked white bread are lightly toasted but short on fruit. On the palate, this brut nature is dry, crisp and hints at minerality. Flavors of fresh green herbs and citrus fruits precede a light finish."
McPherson 2015 Timmons Ranch Marsanne (Texas),McPherson,White,Timmons Ranch,Marsanne,"Texas, Texas, US",13.6%,,87,Fiona Adams,"Aromas of lemon peel, crushed chalk and Golden Delicious apple lead to the dry chalky palate. The pithy finish offers hints of white pepper and river rock."
House of Nobilo 2007 Icon Sauvignon Blanc (Marlborough),House of Nobilo,White,Icon,Sauvignon Blanc,"Marlborough, New Zealand",13%,$20,90,Joe Czerwinski,"A pleasant step up for Nobilo's top-of-the-line Sauvignon, offering slightly smoky, herbal but balanced aromas and plenty of melon and stone fruit flavors. It's full-bodied and rich, with a long, refreshing, slightly herbal finish."
MAN Vintners 2006 Pinotage (Coastal Region),MAN Vintners,Red,,Pinotage,"$10,Buy Now",14%,$10,86,Susan Kostrzewa,"Pinotage's “love it or leave it” character—bright red fruit, plucky spice, a touch of rubber—is in full force here, meaning the wine will pair well with grilled meats and stews and is both fun and exotic. Flavors are balanced, acidity good, and the finish is dry and clean."
Kracher 2016 Nouvelle Vague Nummer 2 Trockenbeerenauslese Zweigelt (Burgenland),Kracher,Dessert,Nouvelle Vague Nummer 2 Trockenbeerenauslese,"Zweigelt, Other Red","Burgenland, Austria",10%,,98,Anne Krebiehl MW,"An intense streak of dark mint chocolate immediately hits the nose. This is followed by fruity notions of spirit-soaked plums. The palate concentrates on those plum flavors, with their luscious cinnamon-stoked aromas that are pervaded by a welcome freshness. That ethereal pervasive miny lift that was first encountered on the nose continues to add an extra dimension on this marvel of purity and flavor."
Lungarotti 2014 Extra Brut Sparkling (Vino Spumante),Lungarotti,Sparkling,Extra Brut,"Sparkling Blend, Sparkling","Vino Spumante, Italy Other, Italy",12.5%,,87,Kerin O’Keefe,"Aromas suggesting toasted nut and a whiff of adhesive bandage form the subdued nose. On the lean and racy palate, brisk acidity accompanies suggestions of medicinal herb, lemon rind and bitter walnut."
Colgin 2006 IX Estate Red (Napa Valley),Colgin,Red,IX Estate,"Red Blends, Red Blends","Napa Valley, Napa, California, US",15.6%,$290,94,,"From the estate, in the Pritchard Hill area of St. Helena which is worthy of its own appellation, comes this densely structured, impressive but young wine. It's massive in fruity extract and new oak, flooding the mouth with soft, ultrarich flavors of blackberries and dark chocolate and a leathery, peppery, grilled meat quality. This is the kind of wine even a non-red wine drinker will be dazzled by, and connoisseurs will appreciate its power and finesse. Ready now for sheer opulence, and should develop through 2012, at least."
Château Saint-Didier-Parnac 2011 Prieuré de Cénac  (Cahors),Château Saint-Didier-Parnac,Red,Prieuré de Cénac,Malbec,"Cahors, Southwest France, France",13.5%,$24,91,Roger Voss,"A dark, brooding wine, packed with firm tannins and solid plum-skin and licorice flavors. The wine is dense and complex—a powerful evocation of Malbec—allowing the juicy fruits to merge with the young structure that needs agng for at least 4–5 years."
Domaine Au Pied du Mont Chauve 2014 Le Charmois Premier Cru  (Saint-Aubin),Domaine Au Pied du Mont Chauve,Red,Le Charmois Premier Cru,Pinot Noir,"Saint-Aubin, Burgundy, France",13.5%,$40,90,Roger Voss,"This Picard family wine is still showing wood-aging flavors that contrast with the fresh red-cherry fruit and acidity that is light and perfumed. The wine still needs its balance, which will come in the next months. Drink from 2020."
Companhia das Quintas 2005 Quinta do Cardo Selecção do Enólogo Red (Beira Interior),Companhia das Quintas,Red,Quinta do Cardo Selecção do Enólogo,Portuguese Red,"Beira Interior, Portugal",13.5%,$15,92,Roger Voss,"Cool and tight, this is a firmly tannic wine, showing its mineral, primal rock character. The structure is dry, solid, the fruit a layer of cranberry and black fig among all this firmness. It should age, but is ready now."
Roth 2011 Sauvignon Blanc (Alexander Valley),Roth,White,,Sauvignon Blanc,"Alexander Valley, Sonoma, California, US",13.8%,$17,84,,"Off-dry to sweetish, this has honey, orange, apricot, lime and vanilla flavors. It shows Sauvignon's clean, brisk acidity, but that taste of sweetness limits its appeal."
Château Rauzan Despagne 2016  Bordeaux,Château Rauzan Despagne,Red,,Bordeaux-style Red Blend,"Bordeaux, Bordeaux, France",13.5%,$20,85,Roger Voss,"Acidity shows strongly in this wine along with the dry tannins. It has weight, suggesting ripe fruits that need to develop. Drink this wine from 2021."
Avignonesi 2006 Desiderio Merlot (Cortona),Avignonesi,Red,Desiderio,Merlot,"Cortona, Tuscany, Italy",14.5%,$57,93,,"Sweet spice aromas of cinnamon and vanilla come at the heels of bright berry fruit and cherries. This is a plush, modern Merlot (with 15% Cabernet Sauvignon for extra texture and dimension) that offers well-integrated layers of fruit and oak spice. The mouthfeel is round, soft and long-lasting."
Pear Valley 2013 Pear Valley Vineyard Zinfandel (Paso Robles),Pear Valley,Red,Pear Valley Vineyard,Zinfandel,"Paso Robles, Central Coast, California, US",15%,$19,90,Matt Kettmann,"Rather elegant and well integrated aromas of stewed black cherries, clove, gingerbread and vanilla are reminiscent of a rich dessert. The palate is also full and flavorful with similar components as well as brown sugar, Vietnamese coffee, purple flowers and a lifting mint component. It's fruity but nuanced and fairly priced."
Argillae 2016 Grechetto (Umbria),Argillae,White,,"Grechetto, Italian White","Umbria, Central Italy, Italy",13%,$15,88,Kerin O’Keefe,"Honeysuckle and yellow stone fruit aromas lead the nose of this wine. On the fresh, medium-bodied palate, white almond accents back up ripe peach and apple flavors while a salty mineral note marks the close."
Schramsberg 2008 Blanc de Blancs Sparkling (North Coast),Schramsberg,Sparkling,Blanc de Blancs,"Sparkling Blend, Sparkling","North Coast, North Coast, California, US",12.7%,$36,94,,"Made from 100% Chardonnay grown mostly in Napa and Sonoma counties, this charming bubbly is one of the best blanc de blancs on the market. It's rich and honeyed and feels so good in the mouth, carrying flavors of oranges, sweet limes, Meyer lemons, vanilla and toasty bread. Drink over the next six years."
Artadi 2011 Valdegines Single Vineyard  (Rioja),Artadi,Red,Valdegines Single Vineyard,"Tempranillo Blend, Tempranillo","Rioja, Northern Spain, Spain",14.5%,$65,93,Michael Schachner,"Ripe, savory and smoky up front, this is oozing blackberry, cassis, bacon and leather aromas. The palate on this minerally Rioja is as juicy, ripe and fresh as they come. Flavors of plum, berry, herbs and oak are integrated, classy and finish long, with a touch of coconut and raw wood that will likely disappear with more bottle age. Drink through 2025."
Cairdean Estate 2011 Syrah (Atlas Peak),Cairdean Estate,Red,,,"Atlas Peak, Napa, California, US",13.9%,$68,90,Virginie Boone,"A majority varietal, this wine also contains Merlot and Cabernet Sauvignon, combining for a taste of baked blackberry and licorice, the oak subtle in smoke. With a tannic bite on the midpalate, it resolves into smoother, velvety textures on the finish, inviting one in for another try."
Barnard Griffin 2003 Zinfandel (Columbia Valley (WA)),Barnard Griffin,Red,,Zinfandel,"Columbia Valley (WA), Columbia Valley, Washington, US",,$22,88,Paul Gregutt,"Very citrusy and lifted, forward, scented with orange and lemon peel, cranberry and orange flesh. Unique and persistent, the orange peel character continues all the way through."
Marsiliana 2006 Birillo  (Maremma),Marsiliana,Red,Birillo,"Red Blends, Red Blends","Maremma, Tuscany, Italy",14%,,87,,"Birillo is a soft but straightforward red wine from southern Tuscany that would pair with roast chicken or stuffed turkey. It shows savory aromas of ripe fruit, cured meat, smoked beef and root beer."
Vaza 2008  Rioja,Vaza,Red,,"Tempranillo Blend, Tempranillo","Rioja, Northern Spain, Spain",13%,$12,84,Michael Schachner,"Solid and a touch earthy, with rubbery berry fruit and a bit of herbal essence. Crisp, firm and snappy in the mouth, with berry, cherry and peppery herbal flavors and finish. Nothing but regular; decent for the price."
Falling Star 2002 Chardonnay (Mendoza),Falling Star,White,,Chardonnay,"Mendoza, Mendoza Province, Argentina",,$5,84,Michael Schachner,"Aromas of gumdrop, lemon juice and anise create a stylish impression, however, the wine turns more zesty and tangy in the mouth. Flavors of grapefruit, lemon and apple are open yet ultimately rather simple."
Wagner 2007 Cabernet Sauvignon (Finger Lakes),Wagner,Red,,Cabernet Sauvignon,"Finger Lakes, Finger Lakes, New York, US",12.5%,$15,85,Anna Lee C. Iijima,"Lush with aromas of ripe red plums and cherries with a hint of warm, golden toast, this is a charming everyday wine that's easy to drink yet offers a satisfying degree of depth. Bright acidity, tart Morello cherry flavors and soft tannins meld elegantly on the palate, leading to a finish that's rich with mocha and dark, toasted oak."
Apollonis NV Cuvée Authentique Meunier Blanc de Noirs Brut Pinot Meunier (Champagne),Apollonis,Sparkling,Cuvée Authentique Meunier Blanc de Noirs Brut,"Pinot Meunier, Other Red","Champagne, Champagne, France",12%,$50,91,Roger Voss,"It is no surprise that this producer situated in the Marne Valley has a predilection for Pinot Meunier. The Champagne with ripe fruits and a generous texture was, according to the producer, “cultivated with music.” The wine's freshness is exemplary and delicious. Drink now."
Daou 2012 AUX Red (Paso Robles),Daou,Red,AUX,Rhône-style Red Blend,"Paso Robles, Central Coast, California, US",14.8%,$65,92,Matt Kettmann,"Deep and dark blueberry aromas are laced with blackberry-balsamic reduction, black tobacco, black sage and a brooding spice character on this blend of 71% Syrah, 24% Grenache and 5% Mourvèdre. It's thick and chewy on the palate, with ripe purple fruits clinging to a dense backbone of bacon fat and fudge."
